Item Status,Item,Cert Number,Grade Issuer,Grade,Autograph Grade,Year,Set,Card Number,Subject,Variety,Serial,Category,My Cost,PSA Estimate,Gain/Loss,My Value,Date Acquired,Source,My Notes,Vault Status,Vaulted Date,Days Vaulted,Listing Status,Listing Date,Listing Price,Sold Status,Sold On,Sold Date,Sold Price,Sold Fees,Sold Proceeds,Payment Date
Active,2024 PANINI CAITLIN CLARK COLLECTION COLLEGE CONTENDERS #CC4 CAITLIN CLARK PANINI,132272765,PSA,8,-,2024,PANINI CAITLIN CLARK COLLECTION COLLEGE CONTENDERS,CC4,CAITLIN CLARK,PANINI,-,-,-,20.73,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI BLACK FRIDAY COLLEGE AND PROSPECTS #CC CAITLIN CLARK,132272778,PSA,9,-,2024,PANINI BLACK FRIDAY COLLEGE AND PROSPECTS,CC,CAITLIN CLARK,-,-,-,-,21.91,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI MOSAIC #128 AARON GORDON BLACK GOLD CHOICE 8/8,132272792,PSA,8,-,2023,PANINI MOSAIC,128,AARON GORDON,BLACK GOLD CHOICE,8/8,-,-,-,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI CAITLIN CLARK COLLECTION DONRUSS #19 CAITLIN CLARK PANINI,132272764,PSA,8,-,2024,PANINI CAITLIN CLARK COLLECTION DONRUSS,19,CAITLIN CLARK,PANINI,-,-,-,21.74,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI PRIZM DRAFT PICKS NEW RECRUITS #14 CAITLIN CLARK,132272759,PSA,10,-,2024,PANINI PRIZM DRAFT PICKS NEW RECRUITS,14,CAITLIN CLARK,-,-,-,-,-,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI BLACK FRIDAY ROOKIES #RC17 CAITLIN CLARK,132272779,PSA,8,-,2024,PANINI BLACK FRIDAY ROOKIES,RC17,CAITLIN CLARK,-,-,-,-,53.82,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI PRIZM DRAFT PICKS RATED PROSPECT #2 PAIGE BUECKERS HYPER PRIZM,132272784,PSA,10,-,2024,PANINI PRIZM DRAFT PICKS RATED PROSPECT,2,PAIGE BUECKERS,HYPER PRIZM,-,-,-,-,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI PRIZM DRAFT PICKS RATED PROSPECT #2 PAIGE BUECKERS PURPLE WAVE,132272783,PSA,9,-,2024,PANINI PRIZM DRAFT PICKS RATED PROSPECT,2,PAIGE BUECKERS,PURPLE WAVE,-,-,-,-,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI CAITLIN CLARK COLLECTION COLLEGE CONTENDERS #CC1 CAITLIN CLARK POINTED STARS 184/299,132272771,PSA,8,-,2024,PANINI CAITLIN CLARK COLLECTION COLLEGE CONTENDERS,CC1,CAITLIN CLARK,POINTED STARS,184/299,-,-,31.71,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI CAITLIN CLARK COLLECTION ARTISTIC SELECTION #AS1 CAITLIN CLARK,132272772,PSA,8,-,2024,PANINI CAITLIN CLARK COLLECTION ARTISTIC SELECTION,AS1,CAITLIN CLARK,-,-,-,-,15.72,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI PRIZM MONOPOLY WNBA #65 CAITLIN CLARK,132272760,PSA,9,-,2024,PANINI PRIZM MONOPOLY WNBA,65,CAITLIN CLARK,-,-,-,-,29.14,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI INSTANT WNBA #171 CAITLIN CLARK,132272750,PSA,10,-,2024,PANINI INSTANT WNBA,171,CAITLIN CLARK,-,-,-,-,65,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI PRIZM DRAFT PICKS CAMPUS LEGENDS #5 CAITLIN CLARK,132272755,PSA,8,-,2024,PANINI PRIZM DRAFT PICKS CAMPUS LEGENDS,5,CAITLIN CLARK,-,-,-,-,11.8,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI PRIZM DRAFT PICKS CAMPUS LEGENDS #5 CAITLIN CLARK RED ICE,132272756,PSA,10,-,2024,PANINI PRIZM DRAFT PICKS CAMPUS LEGENDS,5,CAITLIN CLARK,RED ICE,-,-,-,-,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI PRIZM MONOPOLY WNBA INSERT #16 ANGEL REESE FREE PARKING,132272787,PSA,9,-,2024,PANINI PRIZM MONOPOLY WNBA INSERT,16,ANGEL REESE,FREE PARKING,-,-,-,-,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI CAITLIN CLARK COLLECTION REIGNING 3'S #R2 CAITLIN CLARK VORTEX 92/399,132272767,PSA,8,-,2024,PANINI CAITLIN CLARK COLLECTION REIGNING 3'S,R2,CAITLIN CLARK,VORTEX,92/399,-,-,36.65,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2016 PANINI CONTENDERS DRAFT PICKS #103 JAMAL MURRAY VARIATION-AUTOGRAPH-CRACKED ICE TICKET 21/23,132272795,PSA,8,-,2016,PANINI CONTENDERS DRAFT PICKS,103,JAMAL MURRAY,VARIATION-AUTOGRAPH-CRACKED ICE TICKET,21/23,-,-,251.1,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI PRIZM WNBA #145 CAITLIN CLARK,132272752,PSA,8,-,2024,PANINI PRIZM WNBA,145,CAITLIN CLARK,-,-,-,-,-,-,35,-,eBay,Includes grading,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2016 PANINI REVOLUTION #48 NIKOLA JOKIC INFINITE,132272791,PSA,8,-,2016,PANINI REVOLUTION,48,NIKOLA JOKIC,INFINITE,-,-,-,127.06,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI CAITLIN CLARK COLLECTION HIGHLIGHTS #H14 CAITLIN CLARK PANINI,132272763,PSA,8,-,2024,PANINI CAITLIN CLARK COLLECTION HIGHLIGHTS,H14,CAITLIN CLARK,PANINI,-,-,-,40.45,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI SELECT WNBA #72 CAITLIN CLARK,132272751,PSA,10,-,2024,PANINI SELECT WNBA,72,CAITLIN CLARK,-,-,-,-,89.93,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI CAITLIN CLARK COLLECTION ARTISTIC SELECTION #AS2 CAITLIN CLARK,132272773,PSA,9,-,2024,PANINI CAITLIN CLARK COLLECTION ARTISTIC SELECTION,AS2,CAITLIN CLARK,-,-,-,-,22.49,-,-,-,-,-,Vaulted,01/03/2026,101,Fixed Price,04/10/2026,27,-,eBay,-,-,-,-,-
Active,2024 PANINI PRIZM DRAFT PICKS RATED PROSPECT #2 PAIGE BUECKERS ORANGE ICE,132272785,PSA,9,-,2024,PANINI PRIZM DRAFT PICKS RATED PROSPECT,2,PAIGE BUECKERS,ORANGE ICE,-,-,-,-,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI PRIZM DRAFT PICKS PRIZM BREAK #13 CAITLIN CLARK,132272758,PSA,10,-,2024,PANINI PRIZM DRAFT PICKS PRIZM BREAK,13,CAITLIN CLARK,-,-,-,-,-,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI HOOPS PREMIUM STOCK RETRO NET MARVELS #11 NIKOLA JOKIC,132272794,PSA,9,-,2023,PANINI HOOPS PREMIUM STOCK RETRO NET MARVELS,11,NIKOLA JOKIC,-,-,-,-,88.26,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI CAITLIN CLARK COLLECTION HIGHLIGHTS #H8 CAITLIN CLARK VORTEX 29/399,132272768,PSA,8,-,2024,PANINI CAITLIN CLARK COLLECTION HIGHLIGHTS,H8,CAITLIN CLARK,VORTEX,29/399,-,-,21.98,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI PRIZM DRAFT PICKS #57 CAITLIN CLARK VARIATION-RED ICE,132272796,PSA,9,-,2024,PANINI PRIZM DRAFT PICKS,57,CAITLIN CLARK,VARIATION-RED ICE,-,-,-,-,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
