Item Status,Item,Cert Number,Grade Issuer,Grade,Autograph Grade,Year,Set,Card Number,Subject,Variety,Serial,Category,My Cost,Email Total,PSA Estimate,Gain/Loss,My Value,Date Acquired,Source,My Notes,Vault Status,Vaulted Date,Days Vaulted,Listing Status,Listing Date,Listing Price,Sold Status,Sold On,Sold Date,Sold Price,Sold Fees,Sold Proceeds,Payment Date
Active,2024 PANINI CAITLIN CLARK COLLECTION COLLEGE CONTENDERS #CC4 CAITLIN CLARK PANINI,132272765,PSA,8,-,2024,PANINI CAITLIN CLARK COLLECTION COLLEGE CONTENDERS,CC4,CAITLIN CLARK,PANINI,-,-,25,5,20.73,-,-,2025-01-09,eBay,Includes grading fee,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI BLACK FRIDAY COLLEGE AND PROSPECTS #CC CAITLIN CLARK,132272778,PSA,9,-,2024,PANINI BLACK FRIDAY COLLEGE AND PROSPECTS,CC,CAITLIN CLARK,-,-,-,25,5,21.91,-,-,2025-01-09,eBay,Includes grading fee,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI MOSAIC #128 AARON GORDON BLACK GOLD CHOICE 8/8,132272792,PSA,8,-,2023,PANINI MOSAIC,128,AARON GORDON,BLACK GOLD CHOICE,8/8,-,31,17,-,-,-,2025-10-06,eBay,Includes grading fee,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI CAITLIN CLARK COLLECTION DONRUSS #19 CAITLIN CLARK PANINI,132272764,PSA,8,-,2024,PANINI CAITLIN CLARK COLLECTION DONRUSS,19,CAITLIN CLARK,PANINI,-,-,25,5,21.74,-,-,2024-12-25,eBay,Includes grading fee,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI PRIZM DRAFT PICKS NEW RECRUITS #14 CAITLIN CLARK,132272759,PSA,10,-,2024,PANINI PRIZM DRAFT PICKS NEW RECRUITS,14,CAITLIN CLARK,-,-,-,25,5,-,-,-,2024-12-28,eBay,Includes grading fee,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI BLACK FRIDAY ROOKIES #RC17 CAITLIN CLARK,132272779,PSA,8,-,2024,PANINI BLACK FRIDAY ROOKIES,RC17,CAITLIN CLARK,-,-,-,26,5,53.82,-,-,2024-10-20,eBay,Includes grading fee,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI PRIZM DRAFT PICKS RATED PROSPECT #2 PAIGE BUECKERS HYPER PRIZM,132272784,PSA,10,-,2024,PANINI PRIZM DRAFT PICKS RATED PROSPECT,2,PAIGE BUECKERS,HYPER PRIZM,-,-,54,10,-,-,-,2025-06-26,eBay,Includes grading fee,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI PRIZM DRAFT PICKS RATED PROSPECT #2 PAIGE BUECKERS PURPLE WAVE,132272783,PSA,9,-,2024,PANINI PRIZM DRAFT PICKS RATED PROSPECT,2,PAIGE BUECKERS,PURPLE WAVE,-,-,54,10,-,-,-,2025-06-26,eBay,Includes grading fee,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI CAITLIN CLARK COLLECTION COLLEGE CONTENDERS #CC1 CAITLIN CLARK POINTED STARS 184/299,132272771,PSA,8,-,2024,PANINI CAITLIN CLARK COLLECTION COLLEGE CONTENDERS,CC1,CAITLIN CLARK,POINTED STARS,184/299,-,26,5,31.71,-,-,2024-12-01,eBay,Includes grading fee,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI CAITLIN CLARK COLLECTION ARTISTIC SELECTION #AS1 CAITLIN CLARK,132272772,PSA,8,-,2024,PANINI CAITLIN CLARK COLLECTION ARTISTIC SELECTION,AS1,CAITLIN CLARK,-,-,-,25,5,15.72,-,-,,eBay,Includes grading fee,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI PRIZM MONOPOLY WNBA #65 CAITLIN CLARK,132272760,PSA,9,-,2024,PANINI PRIZM MONOPOLY WNBA,65,CAITLIN CLARK,-,-,-,28,5,29.14,-,-,2025-06-05,eBay,Includes grading fee,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI INSTANT WNBA #171 CAITLIN CLARK,132272750,PSA,10,-,2024,PANINI INSTANT WNBA,171,CAITLIN CLARK,-,-,-,28,5,65,-,-,2025-06-05,eBay,Includes grading fee,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI PRIZM DRAFT PICKS CAMPUS LEGENDS #5 CAITLIN CLARK,132272755,PSA,8,-,2024,PANINI PRIZM DRAFT PICKS CAMPUS LEGENDS,5,CAITLIN CLARK,-,-,-,32,5,11.8,-,-,2025-02-10,eBay,Includes grading fee,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI PRIZM DRAFT PICKS CAMPUS LEGENDS #5 CAITLIN CLARK RED ICE,132272756,PSA,10,-,2024,PANINI PRIZM DRAFT PICKS CAMPUS LEGENDS,5,CAITLIN CLARK,RED ICE,-,-,32,5,-,-,-,2025-02-10,eBay,Includes grading fee,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI PRIZM MONOPOLY WNBA INSERT #16 ANGEL REESE FREE PARKING,132272787,PSA,9,-,2024,PANINI PRIZM MONOPOLY WNBA INSERT,16,ANGEL REESE,FREE PARKING,-,-,22,4,-,-,-,2025-05-19,eBay,Includes grading fee,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI CAITLIN CLARK COLLECTION REIGNING 3'S #R2 CAITLIN CLARK VORTEX 92/399,132272767,PSA,8,-,2024,PANINI CAITLIN CLARK COLLECTION REIGNING 3'S,R2,CAITLIN CLARK,VORTEX,92/399,-,61,5,36.65,-,-,2025-07-26,eBay,Includes grading fee,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2016 PANINI CONTENDERS DRAFT PICKS #103 JAMAL MURRAY VARIATION-AUTOGRAPH-CRACKED ICE TICKET 21/23,132272795,PSA,8,-,2016,PANINI CONTENDERS DRAFT PICKS,103,JAMAL MURRAY,VARIATION-AUTOGRAPH-CRACKED ICE TICKET,21/23,-,50,,251.1,-,-,,Other,Includes grading fee,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI PRIZM WNBA #145 CAITLIN CLARK,132272752,PSA,8,-,2024,PANINI PRIZM WNBA,145,CAITLIN CLARK,-,-,-,30,5,-,-,35,,eBay,Includes grading fee,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2016 PANINI REVOLUTION #48 NIKOLA JOKIC INFINITE,132272791,PSA,8,-,2016,PANINI REVOLUTION,48,NIKOLA JOKIC,INFINITE,-,-,38,16,127.06,-,-,2025-08-05,eBay,Includes grading fee,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI CAITLIN CLARK COLLECTION HIGHLIGHTS #H14 CAITLIN CLARK PANINI,132272763,PSA,8,-,2024,PANINI CAITLIN CLARK COLLECTION HIGHLIGHTS,H14,CAITLIN CLARK,PANINI,-,-,25,5,40.45,-,-,2024-09-08,eBay,Includes grading fee,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI SELECT WNBA #72 CAITLIN CLARK,132272751,PSA,10,-,2024,PANINI SELECT WNBA,72,CAITLIN CLARK,-,-,-,30,5,89.93,-,-,,eBay,Includes grading fee,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI CAITLIN CLARK COLLECTION ARTISTIC SELECTION #AS2 CAITLIN CLARK,132272773,PSA,9,-,2024,PANINI CAITLIN CLARK COLLECTION ARTISTIC SELECTION,AS2,CAITLIN CLARK,-,-,-,25,5,22.49,-,-,,eBay,Includes grading fee,Vaulted,01/03/2026,101,Fixed Price,04/10/2026,27,-,eBay,-,-,-,-,-
Active,2024 PANINI PRIZM DRAFT PICKS RATED PROSPECT #2 PAIGE BUECKERS ORANGE ICE,132272785,PSA,9,-,2024,PANINI PRIZM DRAFT PICKS RATED PROSPECT,2,PAIGE BUECKERS,ORANGE ICE,-,-,54,10,-,-,-,2025-06-26,eBay,Includes grading fee,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI PRIZM DRAFT PICKS PRIZM BREAK #13 CAITLIN CLARK,132272758,PSA,10,-,2024,PANINI PRIZM DRAFT PICKS PRIZM BREAK,13,CAITLIN CLARK,-,-,-,25,5,-,-,-,2025-01-14,eBay,Includes grading fee,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2023 PANINI HOOPS PREMIUM STOCK RETRO NET MARVELS #11 NIKOLA JOKIC,132272794,PSA,9,-,2023,PANINI HOOPS PREMIUM STOCK RETRO NET MARVELS,11,NIKOLA JOKIC,-,-,-,74,11,88.26,-,-,2025-08-10,eBay,Includes grading fee,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI CAITLIN CLARK COLLECTION HIGHLIGHTS #H8 CAITLIN CLARK VORTEX 29/399,132272768,PSA,8,-,2024,PANINI CAITLIN CLARK COLLECTION HIGHLIGHTS,H8,CAITLIN CLARK,VORTEX,29/399,-,24,5,21.98,-,-,2024-10-27,eBay,Includes grading fee,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI PRIZM DRAFT PICKS #57 CAITLIN CLARK VARIATION-RED ICE,132272796,PSA,9,-,2024,PANINI PRIZM DRAFT PICKS,57,CAITLIN CLARK,VARIATION-RED ICE,-,-,24,5,-,-,-,2025-06-15,eBay,Includes grading fee,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI PRIZM WNBA #127 CAMERON BRINK BLUE VELOCITY,132272786,PSA,8,-,2024,PANINI PRIZM WNBA,127,CAMERON BRINK,BLUE VELOCITY,-,-,26,4,-,-,-,2025-05-04,eBay,Includes grading fee,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2022 PANINI PRIZM MONOPOLY MONEY #M7 NIKOLA JOKIC BLACK,132272789,PSA,5,-,2022,PANINI PRIZM MONOPOLY MONEY,M7,NIKOLA JOKIC,BLACK,-,-,124,4,-,-,-,2025-07-14,eBay,Includes grading fee,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 PANINI PRIZM DRAFT PICKS #57 CAITLIN CLARK VARIATION-GREEN PRIZM,132272754,PSA,9,-,2024,PANINI PRIZM DRAFT PICKS,57,CAITLIN CLARK,VARIATION-GREEN PRIZM,-,-,24,5,-,-,-,2025-06-15,eBay,Includes grading fee,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2024 TOPPS NOW OLYMPIC GAMES #4 LeBRON JAMES,149237668,PSA,10,-,2024,TOPPS NOW OLYMPIC GAMES,4,LeBRON JAMES,-,-,-,28,,35.87,-,-,,Other,Includes grading fee,Vaulted,04/07/2026,7,Fixed Price,04/14/2026,34,-,eBay,-,-,-,-,-
