Item Status,Item,Cert Number,Grade Issuer,Grade,Autograph Grade,Year,Set,Card Number,Subject,Variety,Serial,Category,My Cost,PSA Estimate,Gain/Loss,My Value,Date Acquired,Source,My Notes,Vault Status,Vaulted Date,Days Vaulted,Listing Status,Listing Date,Listing Price,Sold Status,Sold On,Sold Date,Sold Price,Sold Fees,Sold Proceeds,Payment Date
Active,2019 PANINI DONRUSS OPTIC #56 JAMAL MURRAY CHECKERBOARD,67574272,PSA,10,-,2019,PANINI DONRUSS OPTIC,56,JAMAL MURRAY,CHECKERBOARD,-,-,23,61.2,38.2,-,03/10/2023,Goldin,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2018 PANINI CROWN ROYALE POWER IN THE PAINT #9 NIKOLA JOKIC,68501642,PSA,9,-,2018,PANINI CROWN ROYALE POWER IN THE PAINT,9,NIKOLA JOKIC,-,-,-,55,152.56,97.56,-,04/01/2023,Goldin,-,Unvaulted,11/22/2022,1110,-,-,-,-,-,-,-,-,-,-
Active,2019 PANINI PRIZM #88 MICHAEL PORTER JR.,58185450,PSA,9,-,2019,PANINI PRIZM,88,MICHAEL PORTER JR.,-,-,-,5,8.04,3.039999999999999,-,04/07/2023,Goldin,-,Unvaulted,03/06/2023,1104,-,-,-,-,-,-,-,-,-,-
Active,2021 PANINI CHRONICLES #20 NIKOLA JOKIC PINK,72260764,PSA,10,-,2021,PANINI CHRONICLES,20,NIKOLA JOKIC,PINK,-,-,74,164.8,90.80000000000001,-,06/10/2023,Goldin,-,Unvaulted,06/16/2023,1034,-,-,-,-,-,-,-,-,-,-
Active,2018 PANINI CHRONICLES #158 MICHAEL PORTER JR.,59483796,PSA,8,-,2018,PANINI CHRONICLES,158,MICHAEL PORTER JR.,-,-,-,6,7.47,1.4699999999999998,-,07/07/2023,Goldin,-,Unvaulted,06/22/2023,1012,-,-,-,-,-,-,-,-,-,-
Active,2020 PANINI DONRUSS OPTIC SPLASH! #2 JAMAL MURRAY HOLO,79602572,PSA,10,-,2020,PANINI DONRUSS OPTIC SPLASH!,2,JAMAL MURRAY,HOLO,-,-,21.96,66.82,44.85999999999999,-,01/12/2024,Goldin,-,Unvaulted,10/05/2023,823,-,-,-,-,-,-,-,-,-,-
Active,2019 PANINI PRIZM #88 MICHAEL PORTER JR. SILVER PRIZM,52063864,PSA,9,-,2019,PANINI PRIZM,88,MICHAEL PORTER JR.,SILVER PRIZM,-,-,5,8.13,3.130000000000001,-,07/03/2024,-,in a large lot of graded cards,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2017 PANINI DONRUSS OPTIC #172 DERRICK WHITE,88483998,PSA,10,-,2017,PANINI DONRUSS OPTIC,172,DERRICK WHITE,-,-,-,25,21.22,-3.780000000000001,-,06/03/2024,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2018 PANINI SELECT #134 MICHAEL PORTER JR.,47702023,PSA,9,-,2018,PANINI SELECT,134,MICHAEL PORTER JR.,-,-,-,25,8.95,-16.05,-,06/30/2023,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,2018 PANINI PRIZM LUCK OF THE LOTTERY #14 MICHAEL PORTER JR.,48555614,PSA,10,-,2018,PANINI PRIZM LUCK OF THE LOTTERY,14,MICHAEL PORTER JR.,-,-,-,18,18.96,0.9600000000000009,-,03/26/2024,-,includes shipping ,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
